epoch,batch,loss,time_per_10_steps
5,580,0.1612,1.0550
5,590,0.1557,1.0533
5,600,0.1279,1.0613
5,610,0.1896,1.0516
5,620,0.1898,1.0653
5,630,0.1337,1.0586
5,640,0.1647,1.0625
5,650,0.1923,1.8755
5,660,0.1824,1.8120
5,670,0.2113,1.0603
5,680,0.1463,1.0494
5,690,0.1658,1.0558
5,700,0.1891,1.0536
5,710,0.1006,1.0643
5,720,0.2100,1.0521
5,730,0.1776,1.0666
5,740,0.1697,1.0517
5,750,0.1956,1.0712
5,760,0.1574,1.9804
5,770,0.2503,1.8084
5,780,0.1672,1.0637
5,790,0.1457,1.0651
5,800,0.1709,1.0614
5,810,0.1364,1.0836
5,820,0.1555,1.0568
5,830,0.1334,1.0598
5,840,0.1611,1.0730
5,850,0.1855,1.0684
5,860,0.1507,1.0695
5,870,0.1651,2.0499
5,880,0.1731,1.6952
5,890,0.2105,1.0579
5,900,0.1593,1.0517
5,910,0.1472,1.0379
5,920,0.1801,1.0450
5,930,0.1432,1.0336
